HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA20110015,BRIDGE MEADOWS,4203 N WILLIAMS AVE,PORTLAND,OR,97217,45.55404282,-122.6669922,41051003402,27,27,Not Indicated
ORA20110020,BUD CLARK COMMONS,655 NW HOYT ST,PORTLAND,OR,97209,45.52749252,-122.6781006,41051005100,130,130,Not Indicated
ORA20110040,MIRACLES CLUB,4150 NE MLK JR BLVD,PORTLAND,OR,97211,45.55365753,-122.6614609,41051003302,40,40,Not Indicated
ORA20110045,RAMONA APTS,1550 NW 14TH AVE,PORTLAND,OR,97209,45.53401947,-122.6853333,41051005100,138,138,Not Indicated
ORA20110060,UPTOWN TOWER,712 SW ST CLAIR AVE,PORTLAND,OR,97205,45.52318573,-122.6965714,41051005200,72,71,Not Indicated
ORA20120040,CHAUCER COURT,1019 SW TENTH AVE,PORTLAND,OR,97205,45.51784515,-122.6835098,41051010600,84,84,Not Indicated
ORA20120055,GRAY'S LANDING,0650 SW LOWELL ST,PORTLAND,OR,97239,45.48519897,-122.680603,41051005900,209,209,Not Indicated
ORA20120060,MACDONALD WEST APTS,127 NW SIXTH AVE,PORTLAND,OR,97209,45.52396774,-122.6767197,41051005100,42,42,Not Indicated
ORA20120065,GLADYS MCCOY VILLAGE,4430 NE MLK JR BLVD,PORTLAND,OR,97211,45.55510712,-122.6614532,41051003302,55,55,Not Indicated
ORA20120620,THE 1200 BUILDING,1220 SW 12TH AVE,PORTLAND,OR,97205,45.51691055,-122.6858597,41051010600,89,89,Not Indicated
ORA20130007,YARDS AT UNION STATION C,615 NW NAITO PKWY,PORTLAND,OR,97209,45.527668,-122.673027,41051005100,80,154,Not Indicated
ORA20130623,LEXINGTON APTS,1125 SW 12TH AVE,PORTLAND,OR,97205,45.51749039,-122.6860504,41051005200,54,54,Not Indicated
ORA20130627,PARK TOWER APTS,731 SW SALMON ST,PORTLAND,OR,97205,45.51763916,-122.6811295,41051010600,162,162,Not Indicated
ORA20130629,THE MAGNOLIA,3250 NE MLK JR BLVD,PORTLAND,OR,97212,45.54681015,-122.6615143,41051002203,49,49,Not Indicated
ORA20140020,GLISAN COMMONS PHASE I,555 NE 100TH AVE,PORTLAND,OR,97220,45.52653503,-122.5609207,41051008100,67,67,Not Indicated
ORA20140025,STEPHENS CREEK SOUTH,6851 SW 26TH AVE,PORTLAND,OR,97219,45.47408676,-122.7040787,41051006602,47,47,Not Indicated
ORA20141002,BEECH STREET APTS,3650 NE MALLORY AVE,PORTLAND,OR,97212,45.54921722,-122.6634216,41051003402,32,32,Not Indicated
ORA20141004,CATHEDRAL GARDENS APTS,8652 N SWIFT WAY,PORTLAND,OR,97203,45.60230637,-122.7489548,41051004101,124,124,Not Indicated
ORA20141008,STEPHENS CREEK CROSSING NORTH,6783 SW 26TH AVE,PORTLAND,OR,97219,45.47524261,-122.7041092,41051006602,75,75,Not Indicated
ORA20150004,ERICKSON-FRITZ APTS,9 NW 2ND AVE,PORTLAND,OR,97209,45.52324295,-122.6725922,41051005100,62,52,Not Indicated
ORA20150005,GILMAN COURT FKA GLISAN COMMONS PHASE II,610 NE 99TH AVE,PORTLAND,OR,97220,45.52715302,-122.5617294,41051008100,60,60,Not Indicated
ORA20160001,85 STORIES GROUP I,2140 NW KEARNEY ST,PORTLAND,OR,97210,45.52897644,-122.6954193,41051004800,259,259,Not Indicated
ORA20160002,85 STORIES GROUP II,4400 NE BROADWAY ST,PORTLAND,OR,97213,45.53496933,-122.617897,41051002702,396,396,Not Indicated
ORA20160005,BRONAUGH APARTMENTS,1434 SW MORRISON,PORTLAND,OR,97205,45.52106476,-122.6866913,41051005200,50,50,Not Indicated
ORA20160006,HAWTHORNE EAST,1420 SE 16TH AVENUE,PORTLAND,OR,97214,45.51272964,-122.6493835,41051001201,71,70,Not Indicated
ORA20160009,MIRACLES-CENTRAL APARTMENTS,1306 NE 2ND AVENUE,PORTLAND,OR,97232,45.53228378,-122.6634598,41051002303,47,47,Not Indicated
ORA20160010,NAYA GENERATIONS,5205 SE 86TH AVE,PORTLAND,OR,97266,45.48535156,-122.5751877,41051000601,40,40,Not Indicated
ORA20160014,ROSEWOOD PLAZA,18155 NE COUCH ST,GRESHAM,OR,97230,45.52282333,-122.4757385,41051009604,45,45,Not Indicated
ORA20180001,BEATRICE MORROW APTS,3368 NE MARTIN LUTHER KING JR BLVD,PORTLAND,OR,97212,45.5475502,-122.661293,41051002203,80,80,Not Indicated
ORA20180003,CHARLOTTE B RUTHERFORD PLACE,6905 N INTERSTATE AVE,PORTLAND,OR,97217,45.57306671,-122.682457,41051003802,51,51,Not Indicated
ORA20180004,"COMMONS, THE",5800 NE CENTER COMMONS WAY,PORTLAND,OR,97212,45.52807999,-122.6025925,41051001801,172,172,Not Indicated
ORA20180006,GARLINGTON HOUSING,3080 NE MLK JR BLVD,PORTLAND,OR,97212,45.54522324,-122.6615295,41051002203,52,52,Not Indicated
ORA20180008,HAZEL HEIGHTS,12613 + 12647 SE STARK ST,PORTLAND,OR,97233,45.51169968,-122.5036011,41051009701,153,153,Not Indicated
ORA20180012,OLIVER STATION,5959 + 5990 SE 92ND AVE,PORTLAND,OR,97266,45.48339844,-122.5672989,41051000601,126,126,Not Indicated
ORA20180016,SQUARE MANOR,12020 SE GLADSTONE ST / 9110 NE HASSALO,PORTLAND,OR,97266,45.49265289,-122.5405807,41051008400,101,101,Not Indicated
ORA20190001,72FOSTER,5005 SE 72ND AVENUE,PORTLAND,OR,97206,45.48691177,-122.5895691,41051000502,101,101,Not Indicated
ORA20190005,ORCHARDS OF 82ND,8118 SE DIVISION STREET,PORTLAND,OR,97206,45.5047493,-122.5791168,41051000701,48,47,Not Indicated
ORA20190008,VIBRANT!,1620 NW 14TH AVENUE,PORTLAND,OR,97209,45.53446198,-122.6853485,41051005100,93,93,Not Indicated
ORA20200001,ARGYLE GARDENS (FKA LISAH),8550 N ARGYLE WAY,PORTLAND,OR,97217,45.58500671,-122.6910553,41051003801,72,71,Not Indicated
ORA20210001,85 STORIES GROUP 6 (9 SCATTERED SITES),17225 SE ALDER,PORTLAND,OR,97233,45.51780701,-122.4853516,41051009702,315,315,Not Indicated
